DaySinceStart,DateMonth,DateDay,DateYear,Mile,MileageForDay,Location,ElevationFeet,HostelHotel,NearbyTown,State,CampingStyle
1,2,17,16,8.1,8.1,Hawk Mountain Shelter,3200,,,Georgia,Shelter
2,2,18,16,17.3,9.2,"USFS 42, Gooch Gap",2821,,,Georgia,Tent
3,2,19,16,31.7,14.4,"U.S. 19 & 129, Neel Gap",3125,Mountain Crossings,,Georgia,Hostel
4,2,20,16,38.6,6.9,"Ga. 348, Hogpen Gap",3250,,,Georgia,Tent
5,2,21,16,50.5,11.9,Blue Mountain Shelter,3900,,,Georgia,Shelter
6,2,22,16,63.3,12.8,Sassafras Gap,3500,,,Georgia,Tent
7,2,23,16,69.6,6.3,"U.S. 76, Dicks Creek Gap",2675,Top of Georgia Hostel and Hiking Center,"Hiawassee, GA 30546",Georgia,Hostel
8,2,24,16,74.1,4.5,Plumorchard Gap Shelter,3050,,,Georgia,Shelter
9,2,25,16,86.3,12.2,Standing Indian Shelter,4760,,,North Carolina,Tent
10,2,26,16,102.5,16.2,Long Branch Shelter,4503,,,North Carolina,Shelter
11,2,27,16,114,11.5,Siler Bald Shelter,4600,,,North Carolina,Shelter
12,2,28,16,131.4,17.4,"Wesser Creek Trail, Wesser Bald Shelter",4115,,,North Carolina,Shelter
13,2,29,16,137.1,5.7,"U.S. 19, U.S. 74, Wesser, N.C.",1723,Nantahala Outdoor Center,,North Carolina,Hostel
14,3,1,16,144,6.9,Sassafras Gap Shelter,4330,,,North Carolina,Shelter
15,3,2,16,159.2,15.2,Cable Gap Shelter,2880,,,North Carolina,Shelter
16,3,3,16,170.8,11.6,Shuckstack Fire Tower,3800,,,North Carolina,Tent
17,3,4,16,183.2,12.4,Eagle Creek Trail to Spence Field Shelter,4915,,,North Carolina,Shelter
18,3,5,16,195,11.8,Silers Bald Shelter,5460,,,North Carolina,Shelter
19,3,6,16,207.1,12.1,"U.S. 441, Newfound Gap",5045,Grand Prix Motel,"Gatlinburg, TN 37738",North Carolina,Hotel
20,3,7,16,222.2,15.1,Tri-Corner Knob Shelter,5920,,,North Carolina,Shelter
21,3,8,16,239.2,17,State Line Branch,1600,,,North Carolina / Tennessee,Tent
22,3,9,16,247.5,8.3,"Deep Gap, Groundhog Creek Shelter",2900,,,North Carolina / Tennessee,Shelter
23,3,10,16,264.6,17.1,Big Rock Spring,3730,,,North Carolina / Tennessee,Tent
24,3,11,16,273.7,9.1,"U.S. 25 & 70, N.C. 209",1326,The Hostel at Laughing Heart Lodge,"Hot Springs, NC 28743",North Carolina / Tennessee,Hostel
25,3,12,16,284.7,11,Spring Mountain Shelter,3300,,,North Carolina / Tennessee,Shelter
26,3,13,16,293.3,8.6,Little Laurel Shelter,3300,,,North Carolina / Tennessee,Shelter
27,3,14,16,309.6,16.3,Rector Laurel Road,2960,,,North Carolina / Tennessee,Hostel
28,3,15,16,309.6,0,Rector Laurel Road,2960,,,North Carolina / Tennessee,Hostel
29,3,16,16,328.7,19.1,Whistling Gap,3650,,,North Carolina / Tennessee,Tent
30,3,17,16,342.2,13.5,River Road,1700,Nolichucky Hostel and Outfitters (Uncle Johnny's),"Erwin, TN 37650",North Carolina / Tennessee,Hostel
31,3,18,16,355.9,13.7,Unaka Mountain,5180,,,North Carolina / Tennessee,Tent
32,3,19,16,368.3,12.4,Clyde Smith Shelter,4400,,,North Carolina / Tennessee,Shelter
33,3,20,16,383.9,15.6,"Yellow Mountain Gap, Overmountain Gap",4682,,,North Carolina / Tennessee,Shelter
34,3,21,16,393.1,9.2,U.S. 19E,2895,Mountain Harbour B&B and Hiker Hostel,"Roan Mountain, TN 37687",Tennessee,Hostel
35,3,22,16,411.5,18.4,Moreland Gap Shelter,3815,,,Tennessee,Shelter
36,3,23,16,428.7,17.2,Watauga Lake Shelter,2130,,,Tennessee,Shelter
37,3,24,16,442.7,14,Iron Mountain Shelter,4125,,,Tennessee,Shelter
