Desc,Mile,Elev,Rescaled,Highlight
Gilmer,0.0,3769,0.0,
Springer Mountain,0.2,3720,0.2,
USFS 42,1.0,3372,1.0,
Rich Mountain,1.9,3284,1.9,
Stover Creek,2.6,2956,2.6,
Stover Creek,2.9,2844,2.9,
Chester Creek,4.3,2516,4.3,
Lake/pond/tank,4.7,2555,4.7,
Union,7.3,3244,7.3,
Hawk Mountain,8.1,3185,8.1,-
Union,8.4,3018,8.4,
Hightower Gap Rd,8.5,2949,8.5,
Hightower Gap,8.6,2847,8.6,
Horse Gap,10.5,2670,10.5,
Horse Gap,10.6,2700,10.6,
Appalachian Blue Ridge Rd,12.2,2808,12.3,
Justus Mountain,12.8,3221,12.9,
Brookshire Gap,13.2,2896,13.3,
Deep Gap,13.7,2709,13.8,
Justus Creek,14.3,2513,14.4,
Blackwell Creek,15.5,2654,15.6,
Gooch Mountain,15.7,2732,15.8,
Union,16.1,2952,16.2,
Mount Airy Creek,16.9,2824,17.0,
Gooch Gap,17.1,2814,17.2,-
Cooper Gap Rd,17.2,2818,17.3,
Lumpkin,17.4,2877,17.5,
Grassy Gap,18.1,2988,18.2,
Liss Gap,18.8,3031,18.9,
Jacks Gap,19.4,3041,19.5,
Ramrock Mountain,19.6,3175,19.7,
Tritt Gap,19.8,3024,19.9,
Suches  GA 30572,21.1,3166,21.2,
Lunsford Gap,21.9,3320,22.0,
Big Cedar Mountain,22.3,3690,22.4,
Augerhole Gap,22.7,3589,22.8,
Dan Gap,23.5,3267,23.6,
Granny Top,23.6,3310,23.7,
Lumpkin,24.4,2860,24.5,
Henry Gap,25.2,3067,25.3,
Union,25.6,3215,25.7,
Appalachian Trl,26.5,3412,26.6,
Burnett Field Mountain,26.6,3356,26.7,
Jarrard Gap,26.9,3284,27.0,
Gaddis Mountain,27.3,3533,27.4,
Horsebone Gap,27.5,3448,27.6,
Woods Hole,28.0,3713,28.1,
Turkey Stamp,28.1,3743,28.2,
Bird Gap,28.4,3677,28.5,
Blood Mountain,29.7,4442,29.8,
Flatrock Gap,31.2,3444,31.3,
Reese State Memorial,31.8,3270,31.9,
Appalachian Trl,32.1,3097,32.2,
State Rte 11,32.2,3097,32.3,-
Raven Cliffs Wilderness,32.4,3202,32.5,
Lumpkin,32.6,3300,32.7,
Bull Gap,33.3,3645,33.4,
Levelland Mountain,33.9,3828,34.0,
Swaim Gap,34.4,3438,34.5,
Turkeypen Mountain,34.6,3510,34.7,
Rock Spring Top,35.1,3530,35.2,
Corbin Horse Stamp,35.6,3641,35.7,
Wolf Laurel Top,35.9,3763,36.0,
Baggs Creek Gap,36.4,3503,36.6,
Green Cliff Top,36.9,3805,37.1,
Cowrock,37.1,3841,37.3,
White,37.2,3809,37.4,
Tesnatee Gap,38.0,3139,38.2,
Tesnatee Gap,38.1,3139,38.3,
Richard B Russell Scenic Hwy,38.9,3464,39.1,
GA 348,39.0,3464,39.2,-
Wolfpen Stamp,39.2,3556,39.4,
Mark Trail Wilderness,39.3,3595,39.5,
White,39.5,3562,39.7,
White Oak Stamp Gap,39.8,3458,40.0,
Strawberry Top,40.4,3540,40.6,
Sapling Gap,40.7,3474,40.9,
Poor Mountain,40.9,3628,41.1,
Wide Gap,41.6,3182,41.8,
Appalachian Trl,41.8,3339,42.0,
Sheep Rock Top,42.7,3559,42.9,
Low Gap,43.6,3031,43.8,
Low Gap,43.7,3061,43.9,
Poplar Stomp Gap,44.9,3343,45.1,
Appalachian Trl,47.5,3458,47.7,
Cold Springs Gap,47.6,3405,47.8,
Chattahoochee Gap,48.7,3526,48.9,
Mark Trail Wilderness,48.8,3507,49.0,
Chattahoochee River,49.1,3353,49.3,
Towns,49.3,3441,49.5,
Appalachian Trl,49.4,3435,49.6,
Red Knob,50.4,3608,50.6,
Henson Gap,50.6,3579,50.8,
Blue Mountain Shelter,51.0,3881,51.2,-
Blue Mountain,51.8,4015,52.0,
Appalachian Trl,52.4,3602,52.6,
White,53.0,3034,53.2,
Unicoi Gap,53.1,2975,53.3,
Helen  GA 30545,53.2,2933,53.4,
Hiawassee  GA 30546,53.3,2929,53.5,
GA 75 (Unicoi Gap),53.3,2939,53.5,
Appalachian Trl,54.6,4002,54.8,
Indian Grave Gap Rd,55.8,3113,56.0,
Indian Grave Gap,55.9,3129,56.1,
Tray Mountain Rd,56.6,3507,56.8,
White,57.4,3838,57.6,
Towns,57.5,3822,57.7,
USFS 79 (Tray Gap),57.6,3828,57.8,
Tray Mountain,58.4,4383,58.6,
Habersham,58.6,4317,58.8,
Tray Mountain Shelter,58.9,4074,59.1,
Wolfpen Gap,60.0,3566,60.3,
Steeltrap Gap,60.5,3461,60.8,
Appalachian Trl,60.9,3667,61.2,
Young Lick,61.0,3750,61.3,
Rabun,61.1,3750,61.4,
Appalachian Trl,61.3,3730,61.6,
Blue Ridge Swag,62.2,3480,62.5,
Round Top,63.1,3779,63.4,
Sassafras Gap,63.5,3533,63.8,-
Addis Gap,64.3,3333,64.6,
Wildcat Rd,64.4,3333,64.7,
Appalachian Trl,64.8,3612,65.1,
Appalachian Trl,65.4,4133,65.7,
Dismal Gap,65.7,3910,66.0,
Appalachian Trl,65.8,3887,66.1,
Dismal Knob,65.9,3841,66.2,
Deep Gap,66.2,3579,66.5,
Deep Gap,66.3,3553,66.6,
Appalachian Trl,66.6,3799,66.9,
Wolfstake Knob,66.7,3812,67.0,
Appalachian Trl,66.9,3759,67.2,
Appalachian Trl,67.0,3818,67.3,
Appalachian Trl,67.2,3877,67.5,
McClure Gap,67.4,3769,67.7,
Powell Mountain,67.5,3812,67.8,
Appalachian Trl,67.6,3759,67.9,
Rabun,68.0,3628,68.3,
Appalachian Trl,68.3,3349,68.6,
Moreland Gap,68.6,3067,68.9,
Dicks Creek,69.4,2857,69.7,
Towns,69.5,2782,69.8,
